id,calculator_name,category,competitor_slug,source_url,competitor_title,competitor_meta_description,competitor_h1,primary_keyword,secondary_keywords,search_intent,suggested_figurenest_slug,suggested_title,suggested_h1,suggested_meta_description,content_sections,schema_recommendation,priority,priority_basis,status,source_http_status,source_schema_types,source_word_count_estimate,research_date,notes,implementation_order
3,Auto Loan,Finance,auto-loan-calculator,https://www.calculator.net/auto-loan-calculator.html,Auto Loan Calculator,"Free auto loan calculator to determine the monthly payment and total cost of an auto loan, while accounting for sales tax, fees, trade-in value, and more.",Auto Loan Calculator,auto loan calculator,free auto loan calculator | online auto loan calculator | auto loan calculator formula | how to calculate auto loan | auto loan calculator with steps | auto loan calculator metric | auto loan calculator example | auto loan calculator monthly payment | auto loan calculator Europe,Transactional tool + informational,/auto-loan-calculator,"Auto Loan Calculator – Free, Fast & Explained | FigureNest",Auto Loan Calculator,"Use FigureNest’s free auto loan calculator for fast results, clear inputs, worked examples, and an easy explanation of the formula.",Calculator; How it works; Formula; Worked example; Interpretation; FAQs; Related calculators,WebApplication + BreadcrumbList + FAQPage (only when visible FAQs exist),1,Heuristic opportunity tier; validate volume/difficulty before publishing,Backlog,200,,3474,2026-09-03,Write original copy and independently test calculations; do not copy competitor text.,11
84,Boat Loan,Finance,boat-loan-calculator,https://www.calculator.net/boat-loan-calculator.html,Boat Loan Calculator,"Free boat loan calculator to determine the monthly payment and total cost of a boat loan, while accounting for sales tax, fees, trade-in value, and more.",Boat Loan Calculator,boat loan calculator,free boat loan calculator | online boat loan calculator | boat loan calculator formula | how to calculate boat loan | boat loan calculator with steps | boat loan calculator metric | boat loan calculator example | boat loan calculator monthly payment | boat loan calculator Europe,Transactional tool + informational,/boat-loan-calculator,"Boat Loan Calculator – Free, Fast & Explained | FigureNest",Boat Loan Calculator,"Use FigureNest’s free boat loan calculator for fast results, clear inputs, worked examples, and an easy explanation of the formula.",Calculator; How it works; Formula; Worked example; Interpretation; FAQs; Related calculators,WebApplication + BreadcrumbList + FAQPage (only when visible FAQs exist),1,Heuristic opportunity tier; validate volume/difficulty before publishing,Backlog,200,,2582,2026-09-03,Write original copy and independently test calculations; do not copy competitor text.,12
79,Business Loan,Finance,business-loan-calculator,https://www.calculator.net/business-loan-calculator.html,Business Loan Calculator,Free business loan calculator that deals with complex repayment options and returns real APR/cost of a business or SBA loan. Learn more about business loans.,Business Loan Calculator,business loan calculator,free business loan calculator | online business loan calculator | business loan calculator formula | how to calculate business loan | business loan calculator with steps | business loan calculator metric | business loan calculator example | business loan calculator monthly payment | business loan calculator Europe,Transactional tool + informational,/business-loan-calculator,"Business Loan Calculator – Free, Fast & Explained | FigureNest",Business Loan Calculator,"Use FigureNest’s free business loan calculator for fast results, clear inputs, worked examples, and an easy explanation of the formula.",Calculator; How it works; Formula; Worked example; Interpretation; FAQs; Related calculators,WebApplication + BreadcrumbList + FAQPage (only when visible FAQs exist),1,Heuristic opportunity tier; validate volume/difficulty before publishing,Backlog,200,,1462,2026-09-03,Write original copy and independently test calculations; do not copy competitor text.,13
192,Canadian Mortgage,Finance,canadian-mortgage-calculator,https://www.calculator.net/canadian-mortgage-calculator.html,Canadian Mortgage Calculator,Free online mortgage calculator specifically customized for use in Canada including amortization tables and the respective graphs.,Canadian Mortgage Calculator,canadian mortgage calculator,free canadian mortgage calculator | online canadian mortgage calculator | canadian mortgage calculator formula | how to calculate canadian mortgage | canadian mortgage calculator with steps | canadian mortgage calculator metric | canadian mortgage calculator example | canadian mortgage calculator monthly payment | canadian mortgage calculator Europe,Transactional tool + informational,/canadian-mortgage-calculator,"Canadian Mortgage Calculator – Free, Fast & Explained | FigureNest",Canadian Mortgage Calculator,"Use FigureNest’s free canadian mortgage calculator for fast results, clear inputs, worked examples, and an easy explanation of the formula.",Calculator; How it works; Formula; Worked example; Interpretation; FAQs; Related calculators,WebApplication + BreadcrumbList + FAQPage (only when visible FAQs exist),1,Heuristic opportunity tier; validate volume/difficulty before publishing,Backlog,200,,4038,2026-09-03,Write original copy and independently test calculations; do not copy competitor text.,14
73,Cash Back Or Low Interest,Finance,cash-back-or-low-interest-calculator,https://www.calculator.net/cash-back-or-low-interest-calculator.html,Cash Back or Low Interest Calculator,Free calculator to evaluate the options of either cash back or low interest offers when buying a car and to learn more about the tradeoffs.,Cash Back or Low Interest Calculator,cash back or low interest calculator,free cash back or low interest calculator | online cash back or low interest calculator | cash back or low interest calculator formula | how to calculate cash back or low interest | cash back or low interest calculator with steps | cash back or low interest calculator metric | cash back or low interest calculator example | cash back or low interest calculator monthly payment | cash back or low interest calculator Europe,Transactional tool + informational,/cash-back-or-low-interest-calculator,"Cash Back Or Low Interest Calculator – Free, Fast & Explained | FigureNest",Cash Back Or Low Interest Calculator,"Use FigureNest’s free cash back or low interest calculator for fast results, clear inputs, worked examples, and an easy explanation of the formula.",Calculator; How it works; Formula; Worked example; Interpretation; FAQs; Related calculators,WebApplication + BreadcrumbList + FAQPage (only when visible FAQs exist),1,Heuristic opportunity tier; validate volume/difficulty before publishing,Backlog,200,,1879,2026-09-03,Write original copy and independently test calculations; do not copy competitor text.,15
14,Compound Interest,Finance,compound-interest-calculator,https://www.calculator.net/compound-interest-calculator.html,Compound Interest Calculator,"Free compound interest calculator to convert and compare interest rates of different compounding periods, or to gain more knowledge on compound interest.",Compound Interest Calculator,compound interest calculator,free compound interest calculator | online compound interest calculator | compound interest calculator formula | how to calculate compound interest | compound interest calculator with steps | compound interest calculator metric | compound interest calculator example | compound interest calculator monthly payment | compound interest calculator Europe,Transactional tool + informational,/compound-interest-calculator,"Compound Interest Calculator – Free, Fast & Explained | FigureNest",Compound Interest Calculator,"Use FigureNest’s free compound interest calculator for fast results, clear inputs, worked examples, and an easy explanation of the formula.",Calculator; How it works; Formula; Worked example; Interpretation; FAQs; Related calculators,WebApplication + BreadcrumbList + FAQPage (only when visible FAQs exist),1,Heuristic opportunity tier; validate volume/difficulty before publishing,Backlog,200,,1651,2026-09-03,Write original copy and independently test calculations; do not copy competitor text.,16
78,Discount,Finance,discount-calculator,https://www.calculator.net/discount-calculator.html,Discount Calculator,"Online calculator to determine the final price after discount, the amount saved, or the original price before discount related to a discounted purchase.",Discount Calculator,discount calculator,free discount calculator | online discount calculator | discount calculator formula | how to calculate discount | discount calculator with steps | discount calculator metric | discount calculator example | discount calculator monthly payment | discount calculator Europe,Transactional tool + informational,/discount-calculator,"Discount Calculator – Free, Fast & Explained | FigureNest",Discount Calculator,"Use FigureNest’s free discount calculator for fast results, clear inputs, worked examples, and an easy explanation of the formula.",Calculator; How it works; Formula; Worked example; Interpretation; FAQs; Related calculators,WebApplication + BreadcrumbList + FAQPage (only when visible FAQs exist),1,Heuristic opportunity tier; validate volume/difficulty before publishing,Backlog,200,,526,2026-09-03,Write original copy and independently test calculations; do not copy competitor text.,17
53,Estate Tax,Finance,estate-tax-calculator,https://www.calculator.net/estate-tax-calculator.html,Estate Tax Calculator,Free estate tax calculator to estimate federal estate tax in the U.S. Also gain in-depth knowledge on estate tax and check the latest estate tax rate.,Estate Tax Calculator,estate tax calculator,free estate tax calculator | online estate tax calculator | estate tax calculator formula | how to calculate estate tax | estate tax calculator with steps | estate tax calculator metric | estate tax calculator example | estate tax calculator monthly payment | estate tax calculator Europe,Transactional tool + informational,/estate-tax-calculator,"Estate Tax Calculator – Free, Fast & Explained | FigureNest",Estate Tax Calculator,"Use FigureNest’s free estate tax calculator for fast results, clear inputs, worked examples, and an easy explanation of the formula.",Calculator; How it works; Formula; Worked example; Interpretation; FAQs; Related calculators,WebApplication + BreadcrumbList + FAQPage (only when visible FAQs exist),1,Heuristic opportunity tier; validate volume/difficulty before publishing,Backlog,200,,2712,2026-09-03,Write original copy and independently test calculations; do not copy competitor text.,18
92,Fha Loan,Finance,fha-loan-calculator,https://www.calculator.net/fha-loan-calculator.html,FHA Loan Calculator,"Free FHA loan calculator to find the monthly payment, total interest, and amortization details of an FHA loan, or learn more about FHA loans.",FHA Loan Calculator,fha loan calculator,free fha loan calculator | online fha loan calculator | fha loan calculator formula | how to calculate fha loan | fha loan calculator with steps | fha loan calculator metric | fha loan calculator example | fha loan calculator monthly payment | fha loan calculator Europe,Transactional tool + informational,/fha-loan-calculator,"Fha Loan Calculator – Free, Fast & Explained | FigureNest",Fha Loan Calculator,"Use FigureNest’s free fha loan calculator for fast results, clear inputs, worked examples, and an easy explanation of the formula.",Calculator; How it works; Formula; Worked example; Interpretation; FAQs; Related calculators,WebApplication + BreadcrumbList + FAQPage (only when visible FAQs exist),1,Heuristic opportunity tier; validate volume/difficulty before publishing,Backlog,200,,5826,2026-09-03,Write original copy and independently test calculations; do not copy competitor text.,19
94,Home Equity Loan,Finance,home-equity-loan-calculator,https://www.calculator.net/home-equity-loan-calculator.html,Home Equity Loan Calculator,"Free calculator that finds the home equity loan amount you can borrow, along with the monthly payment, interest, total cost, and APR after factoring in closing costs.",Home Equity Loan Calculator,home equity loan calculator,free home equity loan calculator | online home equity loan calculator | home equity loan calculator formula | how to calculate home equity loan | home equity loan calculator with steps | home equity loan calculator metric | home equity loan calculator example | home equity loan calculator monthly payment | home equity loan calculator Europe,Transactional tool + informational,/home-equity-loan-calculator,"Home Equity Loan Calculator – Free, Fast & Explained | FigureNest",Home Equity Loan Calculator,"Use FigureNest’s free home equity loan calculator for fast results, clear inputs, worked examples, and an easy explanation of the formula.",Calculator; How it works; Formula; Worked example; Interpretation; FAQs; Related calculators,WebApplication + BreadcrumbList + FAQPage (only when visible FAQs exist),1,Heuristic opportunity tier; validate volume/difficulty before publishing,Backlog,200,,3772,2026-09-03,Write original copy and independently test calculations; do not copy competitor text.,20
4,Interest,Finance,interest-calculator,https://www.calculator.net/interest-calculator.html,Interest Calculator,"Free compound interest calculator to find the interest, final balance, and schedule using either a fixed initial investment and/or periodic contributions.",Interest Calculator,interest calculator,free interest calculator | online interest calculator | interest calculator formula | how to calculate interest | interest calculator with steps | interest calculator metric | interest calculator example | interest calculator monthly payment | interest calculator Europe,Transactional tool + informational,/interest-calculator,"Interest Calculator – Free, Fast & Explained | FigureNest",Interest Calculator,"Use FigureNest’s free interest calculator for fast results, clear inputs, worked examples, and an easy explanation of the formula.",Calculator; How it works; Formula; Worked example; Interpretation; FAQs; Related calculators,WebApplication + BreadcrumbList + FAQPage (only when visible FAQs exist),1,Heuristic opportunity tier; validate volume/difficulty before publishing,Backlog,200,,2542,2026-09-03,Write original copy and independently test calculations; do not copy competitor text.,21
17,Interest Rate,Finance,interest-rate-calculator,https://www.calculator.net/interest-rate-calculator.html,Interest Rate Calculator,Free online calculator to find the interest rate as well as the total interest cost of an amortized loan with a fixed monthly payback amount.,Interest Rate Calculator,interest rate calculator,free interest rate calculator | online interest rate calculator | interest rate calculator formula | how to calculate interest rate | interest rate calculator with steps | interest rate calculator metric | interest rate calculator example | interest rate calculator monthly payment | interest rate calculator Europe,Transactional tool + informational,/interest-rate-calculator,"Interest Rate Calculator – Free, Fast & Explained | FigureNest",Interest Rate Calculator,"Use FigureNest’s free interest rate calculator for fast results, clear inputs, worked examples, and an easy explanation of the formula.",Calculator; How it works; Formula; Worked example; Interpretation; FAQs; Related calculators,WebApplication + BreadcrumbList + FAQPage (only when visible FAQs exist),1,Heuristic opportunity tier; validate volume/difficulty before publishing,Backlog,200,,2136,2026-09-03,Write original copy and independently test calculations; do not copy competitor text.,22
8,Investment,Finance,investment-calculator,https://www.calculator.net/investment-calculator.html,Investment Calculator,"Free investment calculator to evaluate various investment situations considering starting and ending balance, contributions, return rate, and investment length.",Investment Calculator,investment calculator,free investment calculator | online investment calculator | investment calculator formula | how to calculate investment | investment calculator with steps | investment calculator metric | investment calculator example | investment calculator monthly payment | investment calculator Europe,Transactional tool + informational,/investment-calculator,"Investment Calculator – Free, Fast & Explained | FigureNest",Investment Calculator,"Use FigureNest’s free investment calculator for fast results, clear inputs, worked examples, and an easy explanation of the formula.",Calculator; How it works; Formula; Worked example; Interpretation; FAQs; Related calculators,WebApplication + BreadcrumbList + FAQPage (only when visible FAQs exist),1,Heuristic opportunity tier; validate volume/difficulty before publishing,Backlog,200,,3853,2026-09-03,Write original copy and independently test calculations; do not copy competitor text.,23
2,Loan,Finance,loan-calculator,https://www.calculator.net/loan-calculator.html,Loan Calculator,"Free loan calculator to find the repayment plan, interest cost, and amortization schedule of conventional amortized loans, deferred payment loans, and bonds.",Loan Calculator,loan calculator,free loan calculator | online loan calculator | loan calculator formula | how to calculate loan | loan calculator with steps | loan calculator metric | loan calculator example | loan calculator monthly payment | loan calculator Europe,Transactional tool + informational,/loan-calculator,"Loan Calculator – Free, Fast & Explained | FigureNest",Loan Calculator,"Use FigureNest’s free loan calculator for fast results, clear inputs, worked examples, and an easy explanation of the formula.",Calculator; How it works; Formula; Worked example; Interpretation; FAQs; Related calculators,WebApplication + BreadcrumbList + FAQPage (only when visible FAQs exist),1,Heuristic opportunity tier; validate volume/difficulty before publishing,Backlog,200,,2146,2026-09-03,Write original copy and independently test calculations; do not copy competitor text.,24
1,Mortgage,Finance,mortgage-calculator,https://www.calculator.net/mortgage-calculator.html,Mortgage Calculator,"Free mortgage calculator to find monthly payment, total home ownership cost, and amortization schedule with options for taxes, PMI, HOA, and early payoff.",Mortgage Calculator,mortgage calculator,free mortgage calculator | online mortgage calculator | mortgage calculator formula | how to calculate mortgage | mortgage calculator with steps | mortgage calculator metric | mortgage calculator example | mortgage calculator monthly payment | mortgage calculator Europe,Transactional tool + informational,/mortgage-calculator,"Mortgage Calculator – Free, Fast & Explained | FigureNest",Mortgage Calculator,"Use FigureNest’s free mortgage calculator for fast results, clear inputs, worked examples, and an easy explanation of the formula.",Calculator; How it works; Formula; Worked example; Interpretation; FAQs; Related calculators,WebApplication + BreadcrumbList + FAQPage (only when visible FAQs exist),1,Heuristic opportunity tier; validate volume/difficulty before publishing,Backlog,200,,6805,2026-09-03,Write original copy and independently test calculations; do not copy competitor text.,25
193,Mortgage Amortization,Finance,mortgage-amortization-calculator,https://www.calculator.net/mortgage-amortization-calculator.html,Mortgage Amortization Calculator,Free online mortgage amortization calculator including amortization schedules and the related curves.,Mortgage Amortization Calculator,mortgage amortization calculator,free mortgage amortization calculator | online mortgage amortization calculator | mortgage amortization calculator formula | how to calculate mortgage amortization | mortgage amortization calculator with steps | mortgage amortization calculator metric | mortgage amortization calculator example | mortgage amortization calculator monthly payment | mortgage amortization calculator Europe,Transactional tool + informational,/mortgage-amortization-calculator,"Mortgage Amortization Calculator – Free, Fast & Explained | FigureNest",Mortgage Amortization Calculator,"Use FigureNest’s free mortgage amortization calculator for fast results, clear inputs, worked examples, and an easy explanation of the formula.",Calculator; How it works; Formula; Worked example; Interpretation; FAQs; Related calculators,WebApplication + BreadcrumbList + FAQPage (only when visible FAQs exist),1,Heuristic opportunity tier; validate volume/difficulty before publishing,Backlog,200,,5174,2026-09-03,Write original copy and independently test calculations; do not copy competitor text.,26
12,Mortgage Payoff,Finance,mortgage-payoff-calculator,https://www.calculator.net/mortgage-payoff-calculator.html,Mortgage Payoff Calculator,"Free mortgage payoff calculator to evaluate options to pay off a mortgage earlier, such as extra payments, bi-weekly payments, or paying back altogether.",Mortgage Payoff Calculator,mortgage payoff calculator,free mortgage payoff calculator | online mortgage payoff calculator | mortgage payoff calculator formula | how to calculate mortgage payoff | mortgage payoff calculator with steps | mortgage payoff calculator metric | mortgage payoff calculator example | mortgage payoff calculator monthly payment | mortgage payoff calculator Europe,Transactional tool + informational,/mortgage-payoff-calculator,"Mortgage Payoff Calculator – Free, Fast & Explained | FigureNest",Mortgage Payoff Calculator,"Use FigureNest’s free mortgage payoff calculator for fast results, clear inputs, worked examples, and an easy explanation of the formula.",Calculator; How it works; Formula; Worked example; Interpretation; FAQs; Related calculators,WebApplication + BreadcrumbList + FAQPage (only when visible FAQs exist),1,Heuristic opportunity tier; validate volume/difficulty before publishing,Backlog,200,,8329,2026-09-03,Write original copy and independently test calculations; do not copy competitor text.,27
191,Mortgage Uk,Finance,mortgage-calculator-uk,https://www.calculator.net/mortgage-calculator-uk.html,Mortgage Calculator UK,Free online mortgage calculator specifically customized for use in the UK including amortization tables and the respective graphs.,Mortgage Calculator UK,mortgage uk calculator,free mortgage uk calculator | online mortgage uk calculator | mortgage uk calculator formula | how to calculate mortgage uk | mortgage uk calculator with steps | mortgage uk calculator metric | mortgage uk calculator example | mortgage uk calculator monthly payment | mortgage uk calculator Europe,Transactional tool + informational,/mortgage-uk-calculator,"Mortgage Uk Calculator – Free, Fast & Explained | FigureNest",Mortgage Uk Calculator,"Use FigureNest’s free mortgage uk calculator for fast results, clear inputs, worked examples, and an easy explanation of the formula.",Calculator; How it works; Formula; Worked example; Interpretation; FAQs; Related calculators,WebApplication + BreadcrumbList + FAQPage (only when visible FAQs exist),1,Heuristic opportunity tier; validate volume/difficulty before publishing,Backlog,200,,5065,2026-09-03,Write original copy and independently test calculations; do not copy competitor text.,28
83,Personal Loan,Finance,personal-loan-calculator,https://www.calculator.net/personal-loan-calculator.html,Personal Loan Calculator,"Free personal loan calculator that returns the monthly payment, real loan cost, and the APR after considering the fee, insurance, interest of a personal loan.",Personal Loan Calculator,personal loan calculator,free personal loan calculator | online personal loan calculator | personal loan calculator formula | how to calculate personal loan | personal loan calculator with steps | personal loan calculator metric | personal loan calculator example | personal loan calculator monthly payment | personal loan calculator Europe,Transactional tool + informational,/personal-loan-calculator,"Personal Loan Calculator – Free, Fast & Explained | FigureNest",Personal Loan Calculator,"Use FigureNest’s free personal loan calculator for fast results, clear inputs, worked examples, and an easy explanation of the formula.",Calculator; How it works; Formula; Worked example; Interpretation; FAQs; Related calculators,WebApplication + BreadcrumbList + FAQPage (only when visible FAQs exist),1,Heuristic opportunity tier; validate volume/difficulty before publishing,Backlog,200,,3243,2026-09-03,Write original copy and independently test calculations; do not copy competitor text.,29
6,Retirement,Finance,retirement-calculator,https://www.calculator.net/retirement-calculator.html,Retirement Calculator,"Free calculators that help with retirement planning with inflation, social security, life expectancy, and many more factors being taken into account.",Retirement Calculator,retirement calculator,free retirement calculator | online retirement calculator | retirement calculator formula | how to calculate retirement | retirement calculator with steps | retirement calculator metric | retirement calculator example | retirement calculator monthly payment | retirement calculator Europe,Transactional tool + informational,/retirement-calculator,"Retirement Calculator – Free, Fast & Explained | FigureNest",Retirement Calculator,"Use FigureNest’s free retirement calculator for fast results, clear inputs, worked examples, and an easy explanation of the formula.",Calculator; How it works; Formula; Worked example; Interpretation; FAQs; Related calculators,WebApplication + BreadcrumbList + FAQPage (only when visible FAQs exist),1,Heuristic opportunity tier; validate volume/difficulty before publishing,Backlog,200,,3226,2026-09-03,Write original copy and independently test calculations; do not copy competitor text.,30
